Wall time,Step,Value
1710768706.8482482,18,1.5740231275558472
1710768749.0606022,47,1.5963165760040283
1710768771.8306842,62,1.599315881729126
1710768773.3447447,63,1.5925509929656982
1710768810.9998915,89,1.5538558959960938
1710768830.4834075,103,1.5743671655654907
1710768835.8684433,107,1.574588418006897
1710768864.7019966,128,1.6020219326019287
1710768914.356227,164,1.577763319015503
1710768925.4515095,172,1.585384726524353
1710768951.5380635,191,1.5639491081237793
1710768968.1624694,203,1.5671879053115845
1710769024.9907405,244,1.551521897315979
1710769045.7662795,259,1.5790135860443115
1710769077.5652962,282,1.584528923034668
1710769081.6899824,285,1.5717159509658813
1710769128.8075476,319,1.4800710678100586
1710769193.8152034,366,1.571895718574524
1710769221.5635507,386,1.5424331426620483
1710769243.7602632,402,1.4449269771575928
1710769261.9206848,415,1.5797492265701294
1710769292.6522317,437,1.5514819622039795
1710769331.263317,465,1.4522784948349
1710769344.8950822,475,1.5590426921844482
1710769353.096683,481,1.5452513694763184
1710769393.2773228,510,1.5809344053268433
1710769425.281932,533,1.5753519535064697
1710769432.2955754,538,1.5434435606002808
1710769435.0301933,540,1.4838178157806396
1710769456.9133565,556,1.5284247398376465
1710769465.1864047,562,1.5658048391342163
1710769509.901848,594,1.563926100730896
1710769512.7000215,596,1.5566846132278442
1710769569.1114576,637,1.5772689580917358
1710769577.4138074,643,1.5745176076889038
1710769578.79631,644,1.5771675109863281
1710769597.9600284,658,1.5792571306228638
1710769621.5318837,675,1.5836246013641357
1710769684.747607,721,1.5990782976150513
1710769744.370635,764,1.5806465148925781
1710769759.704786,775,1.5574170351028442
1710769799.7958379,804,1.58168625831604
1710769873.3818002,857,1.5864214897155762
1710769885.9328957,866,1.5337740182876587
1710769913.8122518,886,1.557031512260437
1710769991.6436524,942,1.5643612146377563
1710770070.4411252,999,1.5523544549942017
1710770092.1536937,1015,1.5115455389022827
1710770107.104172,1026,1.543197751045227
1710770122.2568412,1037,1.549941062927246
1710770148.44315,1056,1.5930559635162354
1710770168.9682386,1071,1.5625139474868774
1710770177.271492,1077,1.5792124271392822
1710770221.4231634,1109,1.5935128927230835
1710770224.1784945,1111,1.5974160432815552
1710770243.47646,1125,1.5596026182174683
1710770253.1455846,1132,1.5361601114273071
1710770279.4329526,1151,1.5011558532714844
1710770280.8752248,1152,1.5733755826950073
1710770297.5370784,1164,1.490446925163269
1710770311.3572128,1174,1.5594818592071533
1710770314.0442317,1176,1.4957143068313599
1710770325.050937,1184,1.5358866453170776
1710770372.207012,1218,1.5686613321304321
1710770418.9237971,1252,1.5141632556915283
1710770421.6810873,1254,1.4788645505905151
1710770425.842912,1257,1.55410635471344
1710770431.3800876,1261,1.5075260400772095
1710770439.6137133,1267,1.5604333877563477
1710770445.041759,1271,1.5101006031036377
1710770519.345281,1325,1.497040033340454
1710770546.773498,1345,1.56607186794281
1710770588.3498044,1375,1.5567595958709717
1710770589.7350442,1376,1.527396321296692
1710770646.616133,1417,1.52940833568573
1710770701.940618,1457,1.553855061531067
1710770703.3835516,1458,1.5081340074539185
1710770752.821752,1494,1.5767762660980225
1710770763.8187423,1502,1.5378241539001465
1710770774.9653697,1510,1.5532677173614502
1710770779.0025454,1513,1.4791667461395264
1710770827.625354,1548,1.5049903392791748
1710770831.7847912,1551,1.4950586557388306
1710770851.2931743,1565,1.475293517112732
1710770855.474383,1568,1.368826150894165
1710770878.806969,1585,1.4560028314590454
1710770893.9354103,1596,1.4563705921173096
1710770936.6625595,1627,1.5331915616989136
1710770947.9224708,1635,1.5172837972640991
1710770996.047039,1670,1.5029500722885132
1710771016.5585856,1685,1.525575041770935
1710771039.9037764,1702,1.5635913610458374
1710771042.6563969,1704,1.5777555704116821
1710771052.2892742,1711,1.572069525718689
1710771143.2867522,1777,1.5457489490509033
1710771239.4695992,1847,1.5314759016036987
1710771257.1768558,1860,1.5532492399215698
1710771266.7384822,1867,1.456852912902832
1710771311.0613732,1899,1.550636887550354
1710771315.1503942,1902,1.5643845796585083
1710771324.7940378,1909,1.5222285985946655
1710771367.3621643,1940,1.38144850730896
1710771394.9400554,1960,1.4986896514892578
1710771396.328869,1961,1.5051169395446777
1710771421.2663355,1979,1.5720906257629395
1710771547.115057,2070,1.5436851978302002
1710771559.376375,2079,1.5139963626861572
1710771573.2371862,2089,1.5819772481918335
1710771588.7245908,2100,1.5614049434661865
1710771739.2314043,2209,1.524147629737854
1710771780.7290332,2239,1.519591212272644
1710771891.6016223,2319,1.5113940238952637
1710771946.4001977,2359,1.508502721786499
1710771994.10575,2394,1.5097275972366333
1710772052.2962353,2436,1.5614069700241089
1710772059.1589348,2441,1.561063528060913
1710772077.233585,2454,1.5829849243164062
1710772088.1994183,2462,1.574471116065979
1710772092.246855,2465,1.5534626245498657
1710772119.848826,2485,1.5622144937515259
1710772144.681543,2503,1.4945828914642334
1710772163.721365,2517,1.552146077156067
1710772181.6330588,2530,1.4372814893722534
1710772245.9792948,2577,1.500914216041565
1710772247.3991752,2578,1.482345700263977
1710772276.8169625,2599,1.4644083976745605
1710772315.4028459,2627,1.443362832069397
1710772326.373973,2635,1.4687246084213257
1710772337.2047067,2643,1.5534201860427856
1710772393.8557315,2684,1.5608474016189575
1710772406.4879968,2693,1.4243738651275635
1710772427.263576,2708,1.5540727376937866
1710772439.5336487,2717,1.4757187366485596
1710772462.6297805,2734,1.5939806699752808
1710772470.7957277,2740,1.522700548171997
1710772488.864112,2753,1.4042989015579224
1710772490.1727672,2754,1.3986703157424927
1710772491.5223854,2755,1.5487914085388184
1710772505.280136,2765,1.5564297437667847
1710772509.3973486,2768,1.5527632236480713
1710772532.6336348,2785,1.4372978210449219
1710772569.8557293,2812,1.4329402446746826
1710772600.2250655,2834,1.494841456413269
1710772614.024956,2844,1.5416955947875977
1710772637.3554478,2861,1.4598116874694824
1710772720.0758786,2921,1.5374900102615356
1710772762.89922,2952,1.5234380960464478
1710772766.990808,2955,1.5479153394699097
1710772776.4672725,2962,1.5088636875152588
1710772791.6989915,2973,1.5124198198318481
1710772875.9072015,3034,1.490760326385498
1710772943.3709548,3083,1.535221815109253
1710772944.6899729,3084,1.5041139125823975
1710772970.5876927,3103,1.4751040935516357
1710772972.0333893,3104,1.4308810234069824
1710772973.403702,3105,1.564885139465332
1710772994.3641536,3120,1.5515159368515015
1710773028.6453211,3145,1.4006409645080566
1710773067.0016644,3173,1.4705290794372559
1710773092.9197497,3192,1.4578739404678345
1710773102.490317,3199,1.5187973976135254
1710773127.3586197,3217,1.4803498983383179
1710773131.4780698,3220,1.530029296875
1710773160.378216,3241,1.443113088607788
1710773193.2171552,3265,1.5519698858261108
1710773197.2462127,3268,1.4547662734985352
1710773249.5183353,3306,1.4890834093093872
1710773296.7037723,3340,1.5480293035507202
1710773318.755039,3356,1.5322270393371582
1710773385.1016634,3404,1.5338468551635742
1710773463.4386747,3461,1.5179141759872437
1710773493.723222,3483,1.4678996801376343
1710773495.072574,3484,1.4231082201004028
1710773504.7320487,3491,1.4955662488937378
1710773517.0265422,3500,1.5316427946090698
1710773552.82976,3526,1.4702277183532715
1710773607.581072,3566,1.505940318107605
1710773611.6450489,3569,1.4011831283569336
1710773654.0356727,3600,1.3942469358444214
1710773675.9841797,3616,1.5011601448059082
1710773728.3824139,3654,1.536413311958313
1710773732.4965968,3657,1.5482500791549683
1710773735.2093263,3659,1.4427146911621094
1710773737.9130888,3661,1.5459052324295044
1710773742.00254,3664,1.4868704080581665
1710773747.5084176,3668,1.4987636804580688
1710773751.6725175,3671,1.4646042585372925
1710773777.7382233,3690,1.5450330972671509
1710773807.5650268,3712,1.5707499980926514
1710773874.8529966,3761,1.4480555057525635
1710773903.7052915,3782,1.4892522096633911
1710773994.6360705,3848,1.4517502784729004
1710773997.3231096,3850,1.5228463411331177
1710774023.4147575,3869,1.4863715171813965
1710774069.2283554,3902,1.405059814453125
1710774081.7105114,3911,1.43415105342865
1710774087.1747386,3915,1.3953181505203247
1710774095.4182382,3921,1.3485419750213623
1710774111.6593242,3933,1.4656050205230713
1710774115.7319431,3936,1.4422190189361572
1710774169.1838062,3975,1.3614870309829712
1710774220.1104445,4012,1.4470709562301636
1710774222.8479586,4014,1.4692984819412231
1710774235.1890063,4023,1.447878360748291
1710774250.3223598,4034,1.3661344051361084
1710774258.664254,4040,1.5431256294250488
1710774268.2517974,4047,1.4194666147232056
1710774318.5163608,4084,1.3822463750839233
1710774352.8124228,4109,1.5329771041870117
1710774361.0241618,4115,1.531984806060791
1710774369.3701549,4121,1.5101616382598877
1710774373.618171,4124,1.4368723630905151
1710774403.6882145,4146,1.5671335458755493
1710774451.8935523,4181,1.4127817153930664
1710774466.9262915,4192,1.5553745031356812
1710774515.17156,4227,1.4531313180923462
1710774556.1766002,4257,1.4956721067428589
1710774640.1957319,4318,1.5142297744750977
1710774653.8960469,4328,1.4330003261566162
1710774746.1364233,4395,1.5408337116241455
1710774812.2920773,4443,1.460221767425537
1710774827.2523463,4454,1.4983822107315063
1710774925.2499435,4525,1.542465090751648
1710774938.8552787,4535,1.516227126121521
1710774944.4353592,4539,1.4083609580993652
1710774978.8888445,4564,1.4847955703735352
1710775040.1401992,4609,1.504847764968872
1710775044.2915356,4612,1.3983104228973389
1710775095.1226566,4649,1.3700255155563354
1710775145.8315327,4686,1.493376612663269
1710775151.2244644,4690,1.5332027673721313
1710775153.8898706,4692,1.5557328462600708
1710775162.1243343,4698,1.437544822692871
1710775174.6512558,4707,1.369120717048645
1710775206.0447738,4730,1.4875863790512085
1710775215.670645,4737,1.469186544418335
1710775269.1747556,4776,1.3768467903137207
1710775270.6067624,4777,1.3467427492141724
1710775311.6296468,4807,1.1788594722747803
1710775343.027819,4830,1.476119041442871
1710775345.799965,4832,1.2540502548217773
1710775349.84877,4835,1.4195705652236938
1710775351.221281,4836,1.4738959074020386
1710775362.0712562,4844,1.4651352167129517
1710775414.0748813,4882,1.4571528434753418
1710775452.7236054,4910,1.5392144918441772
1710775478.581527,4929,1.4918720722198486
1710775493.59582,4940,1.4876478910446167
1710775505.7813897,4949,1.3699588775634766
1710775548.226761,4980,1.505536437034607
1710775563.4072936,4991,1.39085853099823
1710775640.764543,5047,1.463192343711853
1710775666.8927553,5066,1.521187663078308
1710775684.8178527,5079,1.2986668348312378
1710775697.055231,5088,1.3691189289093018
1710775699.8079774,5090,1.4410537481307983
1710775757.1358984,5132,1.4889863729476929
1710775762.6632452,5136,1.4341657161712646
1710775768.033986,5140,1.4697359800338745
1710775783.268998,5151,1.4018760919570923
1710775787.3514957,5154,1.2972567081451416
1710775788.7941942,5155,1.381516933441162
1710775832.8451529,5187,1.4282275438308716
1710775850.6120558,5200,1.5132005214691162
1710775875.467959,5218,1.5665537118911743
